Année	Numéro	Département	Code INSEE	Insee	Commune	Date de première alerte	Surface brûlée (m2)	Surface forêt (m2)	Surface autres terres boisées (m2)	Surfaces non boisées naturelles (m2)	Surfaces non boisées artificialisées (m2)	Surfaces non boisées (m2)	Précision des surfaces	Statut
2006	2	1	1148	01148	Dortan	2006-02-27 13:56	10000	0	10000	0	0	0		Validé en force
2006	3	1	1321	01321	Revonnas	2006-03-15 16:02	10000	0	10000	0	0	0		Validé en force
2006	4	1	1032	01032	Béligneux	2006-03-16 17:03	10000	0	10000	0	0	0		Validé en force
2006	5	1	1109	01109	Collonges	2006-03-27 14:30	10000	0	10000	0	0	0		Validé en force
2006	6	1	1384	01384	Saint-Rambert-en-Bugey	2006-04-24 16:43	20000	0	20000	0	0	0		Validé en force
2006	7	1	1105	01105	Civrieux	2006-07-16 17:50	40000	0	40000	0	0	0		Validé en force
2006	8	1	1034	01034	Belley	2006-07-17 17:19	30000	0	30000	0	0	0		Validé en force
2006	9	1	1380	01380	Saint-Nizier-le-Bouchoux	2006-07-19 18:32	10000	0	10000	0	0	0		Validé en force
2006	10	1	1093	01093	Châtillon-sur-Chalaronne	2006-07-20 12:18	40000	0	40000	0	0	0		Validé en force
2006	11	1	1074	01074	Chalamont	2006-07-21 9:40	30000	0	30000	0	0	0		Validé en force
2006	12	1	1333	01333	Saint-André-de-Corcy	2006-07-28 15:09	40000	0	40000	0	0	0		Validé en force
2006	63	1	1371	01371	Saint-Marcel	2006-09-13 13:06	20000	0	20000	0	0	0		Validé en force
2007	27	1	1099	01099	Chazey-sur-Ain	2007-02-22 18:22	10000	0	10000	0	0	0		Validé
2007	28	1	1056	01056	Boyeux-Saint-Jérôme	2007-02-23 13:05	15000	0	15000	0	0	0		Validé
2007	29	1	1245	01245	Bohas-Meyriat-Rignat	2007-02-23 18:45	10000	0	10000	0	0	0		Validé
2007	37	1	1014	01014	Arbent	2007-03-15 16:49	10000	0	10000	0	0	0		Validé
2007	110	1	1014	01014	Arbent	2007-04-15 20:13	40000	0	40000	0	0	0		Validé
2007	131	1	1309	01309	Pouillat	2007-03-11 13:13	5000	5000	0	0	0	0		Validé
2007	132	1	1080	01080	Champdor	2007-03-12 16:28	5000	0	5000	0	0	0		Validé
2007	271	1	1368	01368	Saint-Julien-sur-Veyle	2007-06-13 18:16	10000	0	10000	0	0	0		Validé
2007	361	1	1147	01147	Domsure	2007-06-24 19:28	10000	0	10000	0	0	0		Validé
2007	526	1	1444	01444	Villebois	2007-08-05 18:09	20000	0	20000	0	0	0		Validé
2007	578	1	1015	01015	Arbignieu	2007-09-13 13:14	20000	0	20000	0	0	0		Validé
2007	579	1	1216	01216	Lhuis	2007-09-21 20:12	10000	0	10000	0	0	0		Validé
2008	108	1	1313	01313	Prévessin-Moëns	2008-02-16 13:14	10000	0	10000	0	0	0		Validé
2008	109	1	1454	01454	Virignin	2008-02-16 13:40	22000	0	22000	0	0	0		Validé
2008	110	1	1245	01245	Bohas-Meyriat-Rignat	2008-02-18 18:02	10000	0	10000	0	0	0		Validé
2008	111	1	1056	01056	Boyeux-Saint-Jérôme	2008-02-19 12:12	10000	0	10000	0	0	0		Validé
2008	112	1	1056	01056	Boyeux-Saint-Jérôme	2008-02-19 18:19	10000	0	10000	0	0	0		Validé
2008	113	1	1202	01202	Lagnieu	2008-02-20 16:55	20000	0	20000	0	0	0		Validé
2008	114	1	1036	01036	Belmont-Luthézieu	2008-02-23 15:06	15000	0	15000	0	0	0		Validé
